"","X","conversation","start_time","duration_in_mins","human_word_amt","turns","chatbot_word_amt","id","contains_loneliness_dict","detected_loneliness_msgs","full_conversation","loneliness_message_pairs","contains_loneliness_llm"
"1",0,"Anonymized","2022-02-22 18:50:07",5.8,24,10,37,"AYA2AEIBIE_2022-02-22 18:50:07","False","","Anonymized","Anonymized",0
"2",1,"Anonymized","2022-02-22 21:33:13",0.48,3,2,14,"AYA2AEIBIE_2022-02-22 21:33:13","False","","Anonymized","Anonymized",0
"3",2,"Anonymized","2022-02-22 21:03:13",1.32,34,12,37,"AYA8CHKFE6_2022-02-22 21:03:13","False","","Anonymized","Anonymized",0
"4",3,"Anonymized","2022-02-22 20:18:34",1.23,31,12,46,"AYACDM5VI2_2022-02-22 20:18:34","False","","Anonymized","Anonymized",0
"5",4,"Anonymized","2022-02-22 21:17:23",1.7,36,12,37,"AYAIY8U74G_2022-02-22 21:17:23","False","","Anonymized","Anonymized",0
"6",5,"Anonymized","2022-02-22 14:38:54",2.37,43,12,43,"AYAQUEDIFI_2022-02-22 14:38:54","False","","Anonymized","Anonymized",0
"7",6,"Anonymized","2022-02-22 20:02:07",3.62,65,12,53,"AYAZ49WEOS_2022-02-22 20:02:07","False","","Anonymized","Anonymized",0
"8",7,"Anonymized","2022-02-22 21:19:59",2.65,46,12,37,"MCD81ESCMQ_2022-02-22 21:19:59","False","","Anonymized","Anonymized",0
"9",8,"Anonymized","2022-02-22 02:29:43",32.68,44,12,38,"MCGJN25JRE_2022-02-22 02:29:43","False","","Anonymized","Anonymized",0
"10",9,"Anonymized","2022-02-22 02:33:36",5.98,66,12,45,"MCGQU2AODW_2022-02-22 02:33:36","False","","Anonymized","Anonymized",0
"11",10,"Anonymized","2022-02-22 04:16:39",4.58,28,12,40,"MCGU6YMTSP_2022-02-22 04:16:39","False","","Anonymized","Anonymized",0
"12",11,"Anonymized","2022-02-22 05:41:39",3.47,43,12,59,"MCGUTSSRKH_2022-02-22 05:41:39","False","","Anonymized","Anonymized",0
"13",12,"Anonymized","2022-02-22 04:44:15",1.67,40,12,45,"WXB2RD3V8N_2022-02-22 04:44:15","False","","Anonymized","Anonymized",0
"14",13,"Anonymized","2022-02-22 00:06:26",2.72,39,12,49,"WXB4Z6AO5Y_2022-02-22 00:06:26","False","","Anonymized","Anonymized",0
"15",14,"Anonymized","2022-02-22 02:18:05",4.47,75,12,59,"WXB5O8J5S8_2022-02-22 02:18:05","False","","Anonymized","Anonymized",0
"16",15,"Anonymized","2022-02-22 03:08:31",1.67,36,12,51,"WXB7MCK5KU_2022-02-22 03:08:31","False","","Anonymized","Anonymized",0
"17",16,"Anonymized","2022-02-22 18:03:14",2.02,38,12,62,"WXBFQBB85V_2022-02-22 18:03:14","False","","Anonymized","Anonymized",0
"18",17,"Anonymized","2022-02-22 04:25:10",6.68,58,12,45,"WXBRQYT37S_2022-02-22 04:25:10","False","","Anonymized","Anonymized",0
"19",18,"Anonymized","2022-02-22 20:37:07",3.42,53,12,46,"WXBU9UGLN2_2022-02-22 20:37:07","False","","Anonymized","Anonymized",0
"20",19,"Anonymized","2022-02-22 03:10:04",3.23,53,12,67,"WXBUTWDQ16_2022-02-22 03:10:04","False","","Anonymized","Anonymized",0
"21",20,"Anonymized","2022-02-22 01:54:31",1.63,44,12,42,"WXD42Z31ZI_2022-02-22 01:54:31","False","","Anonymized","Anonymized",1
"22",21,"Anonymized","2022-02-22 06:21:02",1.53,56,12,45,"WXDDBJTZ9B_2022-02-22 06:21:02","False","","Anonymized","Anonymized",0
"23",22,"Anonymized","2022-02-22 20:06:39",3.53,41,12,33,"WXDDD14I9M_2022-02-22 20:06:39","False","","Anonymized","Anonymized",0
"24",23,"Anonymized","2022-02-22 05:50:16",2.82,52,12,45,"WXDFTF3I9F_2022-02-22 05:50:16","False","","Anonymized","Anonymized",0
"25",24,"Anonymized","2022-02-22 17:49:06",3.77,61,12,41,"WXDKBMRV2L_2022-02-22 17:49:06","False","","Anonymized","Anonymized",0
"26",25,"Anonymized","2022-02-22 00:06:03",3.83,39,12,64,"WXDLFNA753_2022-02-22 00:06:03","False","","Anonymized","Anonymized",0
"27",26,"Anonymized","2022-02-22 23:15:32",8.23,67,12,57,"WXDVYT5BHN_2022-02-22 23:15:32","False","","Anonymized","Anonymized",0
"28",27,"Anonymized","2022-02-22 18:14:26",13.35,136,12,71,"WXIIG5JYPL_2022-02-22 18:14:26","False","","Anonymized","Anonymized",0
"29",28,"Anonymized","2022-02-22 01:50:40",2.55,72,12,82,"WXIRCJQ49F_2022-02-22 01:50:40","False","","Anonymized","Anonymized",0
"30",29,"Anonymized","2022-02-22 17:36:51",2.1,31,12,38,"WXIXOXS5HU_2022-02-22 17:36:51","False","","Anonymized","Anonymized",0
"31",30,"Anonymized","2022-02-22 18:38:39",2.6,42,12,44,"WXIZZ8ZR68_2022-02-22 18:38:39","False","","Anonymized","Anonymized",0
"32",31,"Anonymized","2022-02-22 16:11:49",4.18,56,12,55,"WYB1MQMKT9_2022-02-22 16:11:49","False","","Anonymized","Anonymized",0
"33",32,"Anonymized","2022-02-22 03:38:05",19.5,76,12,50,"WYB2Y1UB4S_2022-02-22 03:38:05","False","","Anonymized","Anonymized",0
"34",33,"Anonymized","2022-02-22 07:44:19",2.67,43,12,69,"WYB31H7579_2022-02-22 07:44:19","False","","Anonymized","Anonymized",0
"35",34,"Anonymized","2022-02-22 22:24:20",1.63,33,12,42,"WYB7BJQ16S_2022-02-22 22:24:20","False","","Anonymized","Anonymized",0
"36",35,"Anonymized","2022-02-22 14:25:37",3.32,97,12,51,"WYBFJ9GW43_2022-02-22 14:25:37","False","","Anonymized","Anonymized",0
"37",36,"Anonymized","2022-02-22 06:26:00",1.92,36,12,57,"WYBH1XNH25_2022-02-22 06:26:00","False","","Anonymized","Anonymized",0
"38",37,"Anonymized","2022-02-22 14:53:47",3.22,37,12,83,"WYBK2LFQO6_2022-02-22 14:53:47","False","","Anonymized","Anonymized",0
"39",38,"Anonymized","2022-02-22 03:29:35",8.32,77,12,53,"WYBMYQVMNX_2022-02-22 03:29:35","False","","Anonymized","Anonymized",0
"40",39,"Anonymized","2022-02-22 19:54:31",2.75,58,12,45,"WYBNRMTD7H_2022-02-22 19:54:31","False","","Anonymized","Anonymized",1
"41",40,"Anonymized","2022-02-22 11:43:04",1.88,36,12,45,"WYBOXLGYGB_2022-02-22 11:43:04","False","","Anonymized","Anonymized",0
"42",41,"Anonymized","2022-02-22 18:42:47",2.42,40,12,42,"WYBQ4WRT8F_2022-02-22 18:42:47","False","","Anonymized","Anonymized",0
"43",42,"Anonymized","2022-02-22 17:53:31",1.45,44,12,56,"WYBRENX62X_2022-02-22 17:53:31","False","","Anonymized","Anonymized",0
"44",43,"Anonymized","2022-02-22 08:56:15",2.6,41,12,40,"WYBSQAUZ74_2022-02-22 08:56:15","False","","Anonymized","Anonymized",0
"45",44,"Anonymized","2022-02-22 01:12:16",3.82,47,12,40,"WYBVCEUVI4_2022-02-22 01:12:16","False","","Anonymized","Anonymized",0
"46",45,"Anonymized","2022-02-22 15:12:30",2.55,58,12,41,"WYBXWBX7WO_2022-02-22 15:12:30","False","","Anonymized","Anonymized",0
"47",46,"Anonymized","2022-02-22 02:17:55",6.9,82,12,59,"WYD3SFBBDA_2022-02-22 02:17:55","False","","Anonymized","Anonymized",0
"48",47,"Anonymized","2022-02-22 19:06:33",3.53,52,12,43,"WYD5X2RX1C_2022-02-22 19:06:33","False","","Anonymized","Anonymized",0
"49",48,"Anonymized","2022-02-22 21:49:01",13,52,12,116,"WYD718G6ZZ_2022-02-22 21:49:01","False","","Anonymized","Anonymized",0
"50",49,"Anonymized","2022-02-22 05:01:20",1.35,41,12,61,"WYDAMM3R9C_2022-02-22 05:01:20","False","","Anonymized","Anonymized",0
"51",50,"Anonymized","2022-02-22 16:45:16",11.1,46,12,62,"WYDBPY6HW6_2022-02-22 16:45:16","False","","Anonymized","Anonymized",0
"52",51,"Anonymized","2022-02-22 19:35:55",15.13,57,12,44,"WYDBZ25YZB_2022-02-22 19:35:55","False","","Anonymized","Anonymized",0
"53",52,"Anonymized","2022-02-22 07:00:21",1.25,35,12,42,"WYDJ6YX3NL_2022-02-22 07:00:21","False","","Anonymized","Anonymized",0
"54",53,"Anonymized","2022-02-22 20:47:19",2.57,36,12,48,"WYDJ7KCSON_2022-02-22 20:47:19","False","","Anonymized","Anonymized",0
"55",54,"Anonymized","2022-02-22 12:43:23",5.18,77,12,56,"WYDRAMDNTP_2022-02-22 12:43:23","False","","Anonymized","Anonymized",0
"56",55,"Anonymized","2022-02-22 22:46:25",1.78,37,12,67,"WYDUGAW33U_2022-02-22 22:46:25","False","","Anonymized","Anonymized",0
"57",56,"Anonymized","2022-02-22 14:11:51",3.93,23,12,45,"WYDV9HSEJ2_2022-02-22 14:11:51","False","","Anonymized","Anonymized",0
"58",57,"Anonymized","2022-02-22 11:27:59",1.6,35,12,39,"WYDWY465GW_2022-02-22 11:27:59","False","","Anonymized","Anonymized",0
