id;text;rater_1;rater_2;already_looked_up
WXD42Z31ZI_2022-02-22 01:54:31;anon;1;1;1
WXBMHB1GQ9_2022-02-22 13:50:37;anon;1;0;1
WYDBSFPX43_2022-02-22 04:33:35;anon;1;1;1
WYBJLKRI6C_2022-02-22 04:19:58;anon;1;1;1
WXB2OHF89L_2022-02-22 03:38:52;anon;1;1;1
WYB9ZW2JV8_2022-02-22 22:32:04;anon;1;1;1
WYDM65NPA8_2022-02-22 01:17:49;anon;1;1;1
WYBSQEAHC2_2022-02-22 17:13:40;anon;1;1;1
WYDR7KNLYJ_2022-02-22 02:55:55;anon;1;1;1
WYDR7KNLYJ_2022-02-22 02:55:55;anon;1;1;1
WYDQGW8SZS_2022-02-22 19:50:06;anon;1;1;1
WYD3VUBNXS_2022-02-22 19:25:46;anon;1;1;1
WXIN1TIR4N_2022-02-22 23:08:07;anon;1;1;1
WXB5XUKOHM_2022-02-22 17:52:29;anon;1;1;1
MCGMJQCXTG_2022-02-22 21:09:50;anon;1;0;1
WXBW9WRQU1_2022-02-22 20:55:18;anon;1;1;1
WXBW9WRQU1_2022-02-22 20:55:18;anon;1;1;1
WXBW9WRQU1_2022-02-22 20:55:18;anon;1;1;1
WXBW9WRQU1_2022-02-22 20:55:18;anon;1;1;1
WXBW9WRQU1_2022-02-22 20:55:18;anon;1;1;1
WXBW9WRQU1_2022-02-22 20:55:18;anon;1;1;1
WYDQ913SFM_2022-02-22 16:43:11;anon;1;1;1
WYDQ913SFM_2022-02-22 16:43:11;anon;1;1;1
WXIJ4UYARF_2022-02-22 09:09:33;anon;1;1;1
WYD4AEYS48_2022-02-22 23:38:59;anon;1;1;1
WYD4AEYS48_2022-02-22 23:38:59;anon;1;1;1
MCDUIU9EYY_2022-02-22 00:12:10;anon;1;1;1
WYD7IGFCXZ_2022-02-22 02:14:24;anon;1;1;1
MCDFDI556R_2022-02-22 21:09:20;anon;1;1;1
MCDFDI556R_2022-02-22 21:09:20;anon;1;1;1
WYBWR1HKN7_2022-02-22 01:48:50;anon;1;0;1
AYAU92GP76_2022-02-22 23:21:01;anon;1;1;1
MCDDRRATGU_2022-02-22 22:28:52;anon;1;1;1
MCDDRRATGU_2022-02-22 22:28:52;anon;1;1;1
MCDDRRATGU_2022-02-22 22:28:52;anon;1;1;1
MCDDRRATGU_2022-02-22 22:28:52;anon;1;1;1
WYBD3S81ID_2022-02-22 20:46:21;anon;1;1;1
MCDL3PP992_2022-02-22 17:55:35;anon;1;1;1
WYD9KO2876_2022-02-22 18:30:09;anon;1;1;1
MCGUM4LMVC_2022-02-22 08:36:14;anon;1;1;1
WXB4TNLXMZ_2022-02-22 13:53:19;anon;1;1;1
WXBHDJ2QAP_2022-02-22 00:39:06;anon;1;1;1
WYBOYSKTDK_2022-02-22 10:04:34;anon;1;1;1
WYBOYSKTDK_2022-02-22 10:04:34;anon;1;1;1
WYDJEODH8S_2022-02-22 00:05:25;anon;1;1;1
AYAYTWRRP4_2022-02-22 23:37:21;anon;1;1;1
WXI6SHDFH8_2022-02-22 00:45:07;anon;1;1;1
AYAD34A15L_2022-02-22 01:34:00;anon;1;1;1
WXDX7XRJAD_2022-02-22 05:25:44;anon;1;1;1
WXISX59VM9_2022-02-22 22:04:29;anon;1;1;1
WYBQQO749I_2022-02-22 23:34:12;anon;1;1;1
WYD1ZL4TIX_2022-02-22 05:08:06;anon;1;1;1
WXBAPES5VA_2022-02-22 03:32:51;anon;1;1;1
WXDO74OSNQ_2022-02-22 17:55:27;anon;1;1;1
WXDO74OSNQ_2022-02-22 17:55:27;anon;1;1;1
WXB8D5OAL2_2022-02-22 08:48:25;anon;1;0;1
WYDXP1YA2W_2022-02-22 22:36:54;anon;1;1;1
AYAU9NM5EG_2022-02-22 18:01:40;anon;1;1;1
WYBO2OO8PV_2022-02-22 04:52:44;anon;1;1;1
WYBO2OO8PV_2022-02-22 04:52:44;anon;1;1;1
WYBO2OO8PV_2022-02-22 20:15:53;anon;1;1;1
WYBO2OO8PV_2022-02-22 20:15:53;anon;1;1;1
WXBD19SEA8_2022-02-22 21:48:36;anon;1;1;1
WYBYD2GNOK_2022-02-22 22:47:35;anon;1;1;1
WYDYJQPW1E_2022-02-22 03:23:23;anon;1;1;1
MCDMXG9RSF_2022-02-22 17:56:15;anon;1;1;1
WXI3555PU4_2022-02-22 22:45:56;anon;1;1;1
WXI3555PU4_2022-02-22 22:45:56;anon;1;1;1
AYA7OTSA9A_2022-02-22 21:30:06;anon;1;1;1
AYA3F2TY5W_2022-02-22 20:24:57;anon;1;1;1
WYDZLM5TYS_2022-02-22 22:07:53;anon;1;1;1
WXDDNZG3N3_2022-02-22 19:28:10;anon;1;1;1
WXBXN3JTTZ_2022-02-22 10:18:25;anon;1;1;1
WYBX3HZV78_2022-02-22 10:14:33;anon;1;1;1
WXI8XKBTRF_2022-02-22 00:00:21;anon;1;1;1
WXINUDOROV_2021-09-13 05:07:41;anon;1;1;1
WXDRA9F5GZ_2021-09-13 19:08:49;anon;1;1;1
WYDFPIB72O_2021-09-13 16:11:50;anon;1;1;1
WXBTZE5P5U_2021-09-13 16:44:30;anon;1;1;1
WYBGF3QFGB_2021-09-13 01:49:52;anon;1;1;1
AYAUW13KQN_2021-09-13 01:37:28;anon;1;1;1
