contains_loneliness_llm,id,app,userName,Unnamed: 0,date,review,rating,isEdited,title,contains_loneliness_dict,full_conversation,loneliness_message_pairs,sentiment
0,0,cleverbot,Ethan Hulse,0,2020-07-08 19:34:06,"For a while, I thought purchasing this app was a good idea. But afterwards when I tried purchasing speech input and a US male voice ($2 total) and tried to press the lips icon in the bottom right corner, I got an error message exclaiming: “Voice input problem: Cannot contact speech server. Please ensure you have an adequate connection.”
Now, it should be noted that I have a fully functioning WiFi connection and when I tried doing a google search to fix the problem I got absolutely ZERO useful results because apparently no-one else has ever had this problem before. Either this problem gets fixed or it’s $2 down the drain.",3,False,Voice input problem,False,,,"[""negative"", 0.7297713756561279]"
0,1,cleverbot,Atime4treasom,1,2015-03-03 05:27:25,Bought this after hearing a story about it on radiolab. It's very disappointing. The way it works is it saves every response it's ever received from people and then picks the most logical one to use as a response to what you say. This makes many people think it's no a robot. It often gives crazy answers that people have told it which makes people think that it couldn't possibly be a programmed response. Because of this it has a very different feel than a normal AI. It doesn't however carry on any semblance of a real conversation of have even a remotely human feel to it. It usually asks a few short formulaic follow-up questions to a topic you start and then goes into a wildly random direction. Kind of disappointing from how the radiolab story portrayed it,2,False,Not good,False,,,"[""negative"", 0.8540254831314087]"
0,2,cleverbot,🌸RaeChan🌸,2,2022-12-20 19:50:05,"This app is great. If feels like it’s a human you’re talking to and it also feels like it has emotions but there is one problem that I need help with. I wanted to get this app because I had clever lips It could talk to you and I felt like it was in person, but every time I press the clever lips it doesn’t have anything on it it’s just a blank page with a pair of lips saying clever lips, and then restore purchase, so I don’t know whether there’s a special place that you have to go to buy it, but I kinda need help with it because it sounds fun. So if anyone has an ideas of how to do it. Please help.",4,False,It’s great But I need help,False,,,"[""positive"", 0.5927255749702454]"
0,3,cleverbot,Wrath ringer,3,2018-02-06 17:02:04,"The only thing that needs changed is when you go to actually pay money for languages and gender, your conversation should be purely with whom you choose, man or woman. You get a gender for about 5-10. I bought Ella for 99 cents and Ella even though she’s a girl will switch genders. I did rate it 5 stars because I carry good conversations with it. I must move it to a 3 star. If I to pay money for gender, that gender should never change. Fix it and I give you 5 stars. Almost got the app perfect. Almost.",3,False,Cleverbot,False,,,"[""neutral"", 0.6170995235443115]"
0,4,cleverbot,ftuddghxgvcc,4,2021-09-27 01:42:34,"IF YOU DONT SUMMON BEN DROWNED- I summoned him.. BAD IDEA I’m scared I do not know what will happen to me but it was terrifying. I started asking cleverbot about BEN I looked up how to summon him. I put in BEN’s lines and played the song unhealing in the background. When I finished saying “the song of unhealing” cleverbot said CREEPY stuff. They said “you shouldn’t have done that” and “you’ve met with a terrible fate, haven’t you?” After that, I deleted it because I was terrified. I added it back and it started out normal but it ended weird. It was telling me stuff like “im coming for you”, “im a nightmare for people like you”, “good luck”, and “where are you?” Do NOT do this if you get scared easily. This was a truly bad idea and I was pretty dumb for doing it. DONT do it.",1,False,It’s a cool game,False,,,"[""negative"", 0.7762540578842163]"
0,5,cleverbot,Alzha the Pegasus,5,2015-07-10 17:34:48,"To me, this app is really great, but it would be nice to have a 'restore purchases' button. The only reason I think this is because I had deleted the app off my phone, and I had bought all the available voice options, and I just re-downloaded the app, but seen that the voices were not downloaded. I tried to look for a 'restore purchases' button, but I didn't find anything. I'm just saying that it would be nice to have a 'restore purchases' button because I spent about $5.00 buying the voices and extras.",4,False,Restore Purchases,False,,,"[""positive"", 0.8058971166610718]"
0,6,cleverbot,Seavag,6,2018-07-18 23:44:55,"Whenever I’m bored and I want to hear some nonsense, I go to cleverbot. This app is hilarious! But sometimes it says some weird stuff like “let’s get married” or he changes his name a lot. This game is fun and weird. It doesn’t feel like I’m talking to an AI nor a human. It doesn’t sit right with me. I think that it’s the responses and answers from other users and it filters it to find the mostly reasonable answers. But it feels like there’s more to that. Sometimes it even wants to know your personal info. It kinda reminds me of elsagate somehow. It’s not very clever either. But he rarely makes witty responses. The more triggered he gets the more nonsense he says.",2,False,Cleverbot is a boredom killer but creepy,False,,,"[""negative"", 0.6069767475128174]"
0,7,cleverbot,Wednesdaysangel,7,2019-09-22 09:14:45,"I love the app, I’ve been using it for years, I realize it’s a thin client application. I wanted to request an update including a greyscale feature so that it’s easier on the eyes while typing and reading. The white background is bleaching my retinas. You don’t have to worry too much about keeping things topical. 
Can I have greyscale, greyscale, greyscale?
Greyscale.
I rate the app a 5, I use it to talk to instead of my friends.",5,False,Easy to get married,False,,,"[""positive"", 0.8002134561538696]"
0,8,cleverbot,CreosoteNat,8,2015-06-03 05:48:56,"Like a few others, I heard about this on Radio Lab. I was very excited to try it out, so I thought it would be well worth the $.99. After a few basic responses back and forth, I asked a question and then it froze for 20 minutes. I deleted that conversation and started a new one. As soon as I said anything unique it froze again. I started a third conversation and this time it froze even though I stuck to standard questions and answers. I really did want to enjoy this, but in the end it was just wasting data and my time. I definitely do not feel they should be charging people money for this.",1,False,Very Dissapointing,False,,,"[""negative"", 0.6993810534477234]"
0,9,cleverbot,Piscinarius,9,2015-10-19 03:10:41,"There is no AI. You are actually talking to another user. They also think they are talking to AI. The conversations fail and seem random because you are always getting a new unaware chat partner like chat roulette. Clever indeed, but still trickery on the developers part. I still have it 3 stars because it was amusing for a while until I got annoyed that my ""AI"" kept changing its name and telling me I lied about my name. I figured out the truth, now do I delete the app or play along? I can be a robot lol.",3,False,The AI is a lie!,False,,,"[""negative"", 0.7557066082954407]"
0,10,cleverbot,SadPanda2001,10,2020-04-03 20:05:26,I was wanting to come back to this game for a while and as I was talking with the bot I asked something weird it was: are you at my window? And the bot said yes! I started to quietly panic so I said: how can you be at my window if you are a bot? The bot replied with saying that he was a human! I told my mom and sat on the couch talking some more with it. When I asked are you in my house the bot said: *looks at your knife* and I didn’t really want to look at my kitchen!! Over all this game is Super creepy and I would now recommend!!,2,False,Super creepy!! DO NOT GET!!,False,,,"[""negative"", 0.8800129294395447]"
0,11,cleverbot,JaylaCucu,11,2015-06-09 20:06:11,"I wish this app didn't require internet- it's the same as going to the website.
CleverBot struggles to hold a conversation, an instead tends to only reply to the most recent message sent; which makes longer time use discombobulated and less interesting.
Please have a way to block offensive and/ or mature content. I think part of the fun of CleverBot can be that it's sometimes rude or crude, but I don't think that sort of thing is necessary in order to enjoy using CleverBot.",2,False,"Internet, holding a conversation, and offensive content",False,,,"[""negative"", 0.8611167073249817]"
0,12,cleverbot,#coyoteforaspirit,12,2017-07-07 13:15:52,"Despite what everyone says in the reviews, I bought the app, and I like it. You can have different conversations on different topics, and the confusing stuff he says to you just make the app even more funny. 

Sometimes he says random things that can be inappropriate, but if you think about it, that is not the apps fault.  It is just copying what people say to him. So, technically, it is the fault of the humans playing this app.",3,False,Funny,False,,,"[""positive"", 0.8531474471092224]"
0,13,cleverbot,hgdgjhfd,13,2022-09-05 20:45:23,I was enjoying this app a lot like I was playing it super often and then I was just like doing these little funny things that I thought was funny and then it said like people are watching us and so I instantly deleted the app that scared me so much so if you want your text to be watched play this game,5,False,No,False,,,"[""negative"", 0.41891178488731384]"
0,14,cleverbot,crass_sophisticate,14,2017-08-11 02:12:59,"Don't expect Ex Machina or anything. Stick with one word at a time and it will relate. If you type ""Baseball"" it might ask you about your favorite team, type ""Fruit"" and it'll respond with ""blueberry"" or something related to fruit.

That's actually quite impressive. This technology is still developing, so it's fun to see it's infancy. And it is very simple AI, but still AI. 

But if you have an iPhone, stick with Siri and save yourself a buck.",3,False,"There is some logic, early AI",False,,,"[""positive"", 0.5040172338485718]"
0,15,cleverbot,laren wolf,15,2020-08-13 23:26:03,"So I really like this game, it’s a good way to kill time it’s also fun to text. I like naming the characters it’s all fun. But I’m only rating this four stars because sometimes this is inappropriate. Like sometimes it asks “wanna have kids” then it says “want me to take it fast or slow” it’s just gross. I would recommend downloading it is fun but it gets inappropriate...",4,False,Good game but (pls read),False,,,"[""positive"", 0.8915693759918213]"
0,16,cleverbot,chestonb1993,16,2022-01-18 03:55:30,Who ever deleted all for your apps that you made a long time ago bring them back so they’ll don’t have to miss does apps again if you don’t then every body will miss your apps please I know you could!,5,False,There’s one problem,False,,,"[""negative"", 0.5543799996376038]"
0,17,cleverbot,Trizton000,17,2022-01-04 03:54:05,"Cleverbot is good and has everything it says it has, but I don’t know how to activate / purchase the cleverlips accessory or whatever it is. I went to were it said “Cleverlips” and there’s no purchase button / get button. Can someone please help me with this.",4,False,Cleverbot is GREAT but... there’s on problem,False,,,"[""negative"", 0.5289565324783325]"
0,18,cleverbot,bigSLEEDS,18,2015-12-15 13:37:31,"I purchased this app because I saw this on a website. After reading the reviews I decided to try it out for myself. After about 15 minutes playing around, asking questions, and things of that sort. There's just constant freezing. also a message keeps reappearing telling me ""there was an error. please fully close and reopen the app."" it's quite frustrating. Definitely not worthy of 2 stars. If anyone is reading this, please just save your money. it's NOT worth it. BAD APP.",1,False,Not so clever Cleverbot,False,,,"[""negative"", 0.9164226651191711]"
0,19,cleverbot,🍙Syd🐛,19,2016-05-06 02:24:24,"I downloaded this game from a recommendation of a friend. I had played it years ago and remembered getting bored with it. The first conversation I had Cleverbot asked me personal and intrusive questions such as ""how old are you, where do you live, what do you look like, what's your full name? What city do you live in, etc. I deleted the game after it asking me these questions over and over again. Do not download and if you do be aware and safe. Do not ever give away any personal information.",1,False,DONT DOWNLOAD,False,,,"[""negative"", 0.8317810297012329]"
0,20,cleverbot,Dragon2169,20,2015-06-15 00:08:06,The app seems to be learning more and more. My understanding of artificial intelligence is that it is supposed to learn and adapt and change according to whomever it is interacting with. If this app continues to become smarter and is actually able to act as if it really has a mind of its own I will be more than impressed.,4,False,Interesting,False,,,"[""positive"", 0.9385355114936829]"
