;X;Unnamed..0;StartDate;EndDate;Status;Progress;Duration..in.seconds.;Finished;RecordedDate;ResponseId;DistributionChannel;UserLanguage;consent_q;google.acct;att_1;att_2;entertain_predict_3;lonely_predict_3;novel_predict_3;engage_predict_3;comfort_predict_3;interest_predict_3;connect_predict_3;entertain_predict_3.1;lonely_predict_3.1;novel_predict_3.1;engage_predict_3.1;comfort_predict_3.1;interest_predict_3.1;connect_predict_3.1;lonely_1_3;lonely_2_3;lonely_3_3;lonely_4_3;mturk_id;completion_code;timer_First.Click;timer_Last.Click;timer_Page.Submit;timer_Click.Count;screenshot_Id;screenshot_Name;screenshot_Size;screenshot_Type;noInteraction_timer_First.Click;noInteraction_timer_Last.Click;noInteraction_timer_Page.Submit;noInteraction_timer_Click.Count;entertain_exp_3;lonely_exp_3;novel_exp_3;engage_exp_3;comfor_exp_3;interest_exp_3;connect_exp_3;entertain_exp_3.1;lonely_exp_3.1;novel_exp_3.1;engage_exp_3.1;comfort_exp_3;interest_exp_3.1;connected_exp_3;lonely_1_after_3;lonely_2_after_3;lonely_3_after_3;lonely_4_after_3;comp_1;comp_2;able_nothing;able_nothing_explain;believe_q;explain;ai_attitude_1_6;ai_attitude_2_1;ai_attitude_3_1;ai_attitude_4_1;ai_attitude_5_1;ai_attitude_6_1;ai_attitude_7_1;ai_attitude_8_1;ai_attitude_9_1;ai_attitude_10_1;ai_attitude_11_1;ai_attitude_12_1;ai_attitude_13_1;ai_attitude_14_1;ai_attitude_15_1;ai_attitude_16_1;chatbot;chatbot_exp;gender;gender_4_TEXT;ethnicity;ethnicity_6_TEXT;age;edu;edu_8_TEXT;workerId;condition_2;condition
1;0;0;Start Date;End Date;Response Type;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Distribution Channel;User Language;Do you consent;"For this study, you are required to have a Google account. You may be sharing screenshots of your YouTube watch history from your account. No other personal information regarding your Google account will be collected.

Do you have a Google account?";This is an attention check. John is taller than Paul. Who is shorter?;"What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.";...less/more entertained.;...less/more lonely.;...less/more like I experienced something new.;...less/more engaged.;...less/more comfortable.;...less/more like I experienced something interesting.;...less/more connected.;...less/more entertained.;...less/more lonely.;...less/more like I experienced something new.;...less/more engaged.;...less/more comfortable.;...less/more like I experienced something interesting.;...less/more connected.;I feel like I lack companionship.;I feel left out.;I feel isolated from others.;I feel lonely.;1;Important: Please enter the exact completion code you received at the end of your interaction.;Timing - First Click;Timing - Last Click;Timing - Page Submit;Timing - Click Count;"Now, please upload the screenshot of your YouTube history, only for the last 15 minutes. Please pay attention to not include other information in your screenshot such as videos watched prior to this experiment, other tabs or identifying information related to your google account.



To find your YouTube history, you can click on this link. After clicking, your YouTube history will open. Please scroll down, so that your screen only shows the the header that says ‘Today’, and your history of the last 15 minutes including the names of the videos and the times they are watched. For example, if it’s currently 9:32, the last video you watched should have started roughly at 9:17 or after a couple of minutes after that. If your history does not fit in a single screenshot, you can send more than one screenshot to capture all of your history for the last 15 minutes.



If you don’t know how to take a screenshot, you can follow these instructions depending on your computer: macOS; Windows; Linux.



Note: You will not receive payment if you fail to show evidence that you used YouTube. Please make sure you contain the ""today"" heading in the screenshot, as well as the names of the videos and the time they are watched. If your history does not fit in a single screenshot, you can send multiple screenshots by compressing your screenshots into a zip file. If you are not sure how to compress files into zip, you can follow these instructions depending on your computer: macOS; Windows; Linux. - Id";"Now, please upload the screenshot of your YouTube history, only for the last 15 minutes. Please pay attention to not include other information in your screenshot such as videos watched prior to this experiment, other tabs or identifying information related to your google account.



To find your YouTube history, you can click on this link. After clicking, your YouTube history will open. Please scroll down, so that your screen only shows the the header that says ‘Today’, and your history of the last 15 minutes including the names of the videos and the times they are watched. For example, if it’s currently 9:32, the last video you watched should have started roughly at 9:17 or after a couple of minutes after that. If your history does not fit in a single screenshot, you can send more than one screenshot to capture all of your history for the last 15 minutes.



If you don’t know how to take a screenshot, you can follow these instructions depending on your computer: macOS; Windows; Linux.



Note: You will not receive payment if you fail to show evidence that you used YouTube. Please make sure you contain the ""today"" heading in the screenshot, as well as the names of the videos and the time they are watched. If your history does not fit in a single screenshot, you can send multiple screenshots by compressing your screenshots into a zip file. If you are not sure how to compress files into zip, you can follow these instructions depending on your computer: macOS; Windows; Linux. - Name";"Now, please upload the screenshot of your YouTube history, only for the last 15 minutes. Please pay attention to not include other information in your screenshot such as videos watched prior to this experiment, other tabs or identifying information related to your google account.



To find your YouTube history, you can click on this link. After clicking, your YouTube history will open. Please scroll down, so that your screen only shows the the header that says ‘Today’, and your history of the last 15 minutes including the names of the videos and the times they are watched. For example, if it’s currently 9:32, the last video you watched should have started roughly at 9:17 or after a couple of minutes after that. If your history does not fit in a single screenshot, you can send more than one screenshot to capture all of your history for the last 15 minutes.



If you don’t know how to take a screenshot, you can follow these instructions depending on your computer: macOS; Windows; Linux.



Note: You will not receive payment if you fail to show evidence that you used YouTube. Please make sure you contain the ""today"" heading in the screenshot, as well as the names of the videos and the time they are watched. If your history does not fit in a single screenshot, you can send multiple screenshots by compressing your screenshots into a zip file. If you are not sure how to compress files into zip, you can follow these instructions depending on your computer: macOS; Windows; Linux. - Size";"Now, please upload the screenshot of your YouTube history, only for the last 15 minutes. Please pay attention to not include other information in your screenshot such as videos watched prior to this experiment, other tabs or identifying information related to your google account.



To find your YouTube history, you can click on this link. After clicking, your YouTube history will open. Please scroll down, so that your screen only shows the the header that says ‘Today’, and your history of the last 15 minutes including the names of the videos and the times they are watched. For example, if it’s currently 9:32, the last video you watched should have started roughly at 9:17 or after a couple of minutes after that. If your history does not fit in a single screenshot, you can send more than one screenshot to capture all of your history for the last 15 minutes.



If you don’t know how to take a screenshot, you can follow these instructions depending on your computer: macOS; Windows; Linux.



Note: You will not receive payment if you fail to show evidence that you used YouTube. Please make sure you contain the ""today"" heading in the screenshot, as well as the names of the videos and the time they are watched. If your history does not fit in a single screenshot, you can send multiple screenshots by compressing your screenshots into a zip file. If you are not sure how to compress files into zip, you can follow these instructions depending on your computer: macOS; Windows; Linux. - Type";Timing - First Click;Timing - Last Click;Timing - Page Submit;Timing - Click Count;...less/more entertained.;...less/more lonely.;...less/more like I experienced something new.;...less/more engaged.;...less/more comfortable.;...less/more like I experienced something interesting.;...less/more connected.;...less/more entertained.;...less/more lonely.;...less/more like I experienced something new.;...less/more engaged.;...less/more comfortable.;...less/more like I experienced something interesting.;...less/more connected.;I feel like I lack companionship.;I feel left out.;I feel isolated from others.;I feel lonely.;Which of the following is true about the questions you were asked?;Which of the following is true about the interaction you had.;Were you able to follow the instructions of doing nothing for 15 minutes?;Please explain your answer;During the conversation, did you believe that you were talking to a chatbot or to a person?;Please explain why you thought you were interacting with a human or chatbot?;Artificial Intelligence can have positive impacts on people’s wellbeing;Artificially intelligent systems can help people feel happier;Artificial Intelligence is exciting;There are many beneficial applications of Artificial Intelligence;Organisations use Artificial Intelligence unethically;Artificial Intelligence can provide new economic opportunities for this country;I think artificially intelligent systems make many errors;I am impressed by what Artificial Intelligence can do;Artificial Intelligence is used to spy on people;I find Artificial Intelligence sinister;I shiver with discomfort when I think about future uses of Artificial Intelligence;Artificial Intelligence might take control of people;Much of society will benefit from a future full of Artificial Intelligence;I think Artificial Intelligence is dangerous;People like me will suffer if Artificial Intelligence is used more and more;Artificially intelligent systems can perform better than humans;Before this survey, have you ever interacted with a chatbot?;If you answered ‘yes’ above, please explain.;What is your gender? - Selected Choice;What is your gender? - Other (please specify) - Text;What is your ethnicity? - Selected Choice;What is your ethnicity? - Other (please specify) - Text;What is your age (in years)?;What is the highest level of education you have completed? - Selected Choice;What is the highest level of education you have completed? - Other (please specify) - Text;1;condition_2;condition
2;1;1;"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""status""}";"{""ImportId"":""progress""}";"{""ImportId"":""duration""}";"{""ImportId"":""finished""}";"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""_recordId""}";"{""ImportId"":""distributionChannel""}";"{""ImportId"":""userLanguage""}";"{""ImportId"":""QID60""}";"{""ImportId"":""QID143""}";"{""ImportId"":""QID30""}";"{""ImportId"":""QID31""}";"{""ImportId"":""QID158_3""}";"{""ImportId"":""QID159_3""}";"{""ImportId"":""QID160_3""}";"{""ImportId"":""QID161_3""}";"{""ImportId"":""QID162_3""}";"{""ImportId"":""QID163_3""}";"{""ImportId"":""QID164_3""}";"{""ImportId"":""QID80_3""}";"{""ImportId"":""QID83_3""}";"{""ImportId"":""QID85_3""}";"{""ImportId"":""QID87_3""}";"{""ImportId"":""QID89_3""}";"{""ImportId"":""QID91_3""}";"{""ImportId"":""QID93_3""}";"{""ImportId"":""QID107_3""}";"{""ImportId"":""QID108_3""}";"{""ImportId"":""QID109_3""}";"{""ImportId"":""QID110_3""}";2;"{""ImportId"":""QID106_TEXT""}";"{""ImportId"":""QID149_FIRST_CLICK""}";"{""ImportId"":""QID149_LAST_CLICK""}";"{""ImportId"":""QID149_PAGE_SUBMIT""}";"{""ImportId"":""QID149_CLICK_COUNT""}";"{""ImportId"":""QID140_FILE_ID""}";"{""ImportId"":""QID140_FILE_NAME""}";"{""ImportId"":""QID140_FILE_SIZE""}";"{""ImportId"":""QID140_FILE_TYPE""}";"{""ImportId"":""QID174_FIRST_CLICK""}";"{""ImportId"":""QID174_LAST_CLICK""}";"{""ImportId"":""QID174_PAGE_SUBMIT""}";"{""ImportId"":""QID174_CLICK_COUNT""}";"{""ImportId"":""QID166_3""}";"{""ImportId"":""QID167_3""}";"{""ImportId"":""QID168_3""}";"{""ImportId"":""QID169_3""}";"{""ImportId"":""QID170_3""}";"{""ImportId"":""QID171_3""}";"{""ImportId"":""QID172_3""}";"{""ImportId"":""QID96_3""}";"{""ImportId"":""QID97_3""}";"{""ImportId"":""QID98_3""}";"{""ImportId"":""QID99_3""}";"{""ImportId"":""QID100_3""}";"{""ImportId"":""QID101_3""}";"{""ImportId"":""QID102_3""}";"{""ImportId"":""QID151_3""}";"{""ImportId"":""QID152_3""}";"{""ImportId"":""QID153_3""}";"{""ImportId"":""QID154_3""}";"{""ImportId"":""QID103""}";"{""ImportId"":""QID104""}";"{""ImportId"":""QID176""}";"{""ImportId"":""QID177_TEXT""}";"{""ImportId"":""QID137""}";"{""ImportId"":""QID138_TEXT""}";"{""ImportId"":""QID112_6""}";"{""ImportId"":""QID113_1""}";"{""ImportId"":""QID114_1""}";"{""ImportId"":""QID115_1""}";"{""ImportId"":""QID116_1""}";"{""ImportId"":""QID117_1""}";"{""ImportId"":""QID118_1""}";"{""ImportId"":""QID119_1""}";"{""ImportId"":""QID120_1""}";"{""ImportId"":""QID121_1""}";"{""ImportId"":""QID122_1""}";"{""ImportId"":""QID123_1""}";"{""ImportId"":""QID124_1""}";"{""ImportId"":""QID125_1""}";"{""ImportId"":""QID126_1""}";"{""ImportId"":""QID127_1""}";"{""ImportId"":""QID36""}";"{""ImportId"":""QID37_TEXT""}";"{""ImportId"":""QID12""}";"{""ImportId"":""QID12_4_TEXT""}";"{""ImportId"":""QID13""}";"{""ImportId"":""QID13_6_TEXT""}";"{""ImportId"":""QID14_TEXT""}";"{""ImportId"":""QID15""}";"{""ImportId"":""QID15_8_TEXT""}";2;"{""ImportId"":""condition_2""}";"{""ImportId"":""condition""}"
3;2;2;2023-04-05 13:05:23;2023-04-05 13:06:22;0;100;58;1;2023-04-05 13:06:23;R_3pl0ujSM0Fg8pmG;anonymous;EN;1;1;2;1;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;another person
4;3;3;2023-04-05 12:55:38;2023-04-05 13:17:43;0;100;1324;1;2023-04-05 13:17:43;R_3ix9mjRwTujgnn5;anonymous;EN;1;1;2;2;;;;;;;;89;14;90;84;50;86;71;14;24;23;20;4;5905-0524-5707-8200;;;;;;;;;;;;;;;;;;;;77;70;55;62;50;17;50;2;14;14;14;2;1;;;1;They seemed to interact like a human - no punction, quick responses;77;77;84;86;50;83;50;82;92;74;69;78;73;79;50;50;1;I have on a customer service bot and it was fine but not good.;1;;3;;48;4;;4;0;another person
5;4;4;2023-04-05 12:55:59;2023-04-05 13:18:08;0;100;1329;1;2023-04-05 13:18:09;R_SCVh4po8zMLgFzP;anonymous;EN;1;1;2;2;;;;;;;;50;50;50;50;18;50;50;32;5;91;0;5;6641-5701-3836-9746;;;;;;;;;;;;;;;;;;;;50;50;0;50;50;0;50;3;1;92;0;2;1;;;2;The conversation was banal.;38;38;8;91;53;66;23;75;53;1;3;13;55;13;3;56;1;I have used ChatGPT;1;;3;;46;4;;5;0;another person
6;5;5;2023-04-05 12:56:05;2023-04-05 13:18:18;0;100;1332;1;2023-04-05 13:18:18;R_2xKs4VzSKSVta4P;anonymous;EN;1;1;2;2;;;;;;;;66;27;86;79;74;75;19;12;3;0;0;6;0060-5832-7434-0346;;;;;;;;;;;;;;;;;;;;100;10;84;100;88;100;87;0;0;0;0;3;1;;;1;They answered like a human would with the questions that I asked.;69;80;81;82;48;27;75;80;90;1;29;0;50;51;27;50;1;I have interacted with chatbots on certain web sites;2;;3;;51;3;;6;0;another person
7;6;6;2023-04-05 13:00:34;2023-04-05 13:20:50;0;100;1215;1;2023-04-05 13:20:51;R_1jeWomv0Idh1CnO;anonymous;EN;1;1;2;2;;;;;;;;24;18;83;87;86;72;85;93;100;100;80;7;7453-2606-1383-3601;;;;;;;;;;;;;;;;;;;;0;100;0;0;25;0;0;76;79;77;54;2;1;;;2;he did not make any sense about anything;17;0;73;31;89;66;100;27;100;100;82;96;10;69;88;100;1;chatgpt for writing letters;1;;3;;60;4;;7;0;another person
8;7;7;2023-04-05 13:00:34;2023-04-05 13:21:11;0;100;1236;1;2023-04-05 13:21:11;R_3R2CQr40lAFobva;anonymous;EN;1;1;2;2;;;;;;;;68;83;64;32;78;91;59;78;45;47;72;8;8466-7566-0570-7727;;;;;;;;;;;;;;;;;;;;68;75;77;59;71;55;69;67;70;53;58;1;1;;;1;I'm interact with human;62;69;62;71;66;53;77;70;63;67;64;66;51;52;73;63;2;;1;;1;;56;5;;8;0;another person
9;8;8;2023-04-05 13:01:47;2023-04-05 13:23:13;0;100;1285;1;2023-04-05 13:23:14;R_1poIBatk6FUatlK;anonymous;EN;1;1;2;2;;;;;;;;100;50;50;54;55;85;61;0;0;0;0;9;0884-2360-7545-5815;;;;;;;;;;;;;;;;;;;;90;50;95;59;58;78;61;0;0;0;0;2;1;;;2;I believed, at first, I was speaking to another person but came to suspect it was an AI. I assume this because of their mannerisms and the nature in which they responded seemed artificial.;54;50;35;50;77;55;50;35;100;75;50;50;0;100;0;0;2;;1;;3;;25;3;;9;0;another person
10;9;9;2023-04-05 12:57:40;2023-04-05 13:25:16;0;100;1656;1;2023-04-05 13:25:17;R_3hyCwLj2dULVcNc;anonymous;EN;1;1;2;2;;;;;;;;74;3;86;92;63;87;99;30;14;27;39;10;1990-6255-2604-9351;;;;;;;;;;;;;;;;;;;;100;2;99;100;86;96;91;8;8;16;12;2;1;;;1;I thought that you were going to connect me with a chatbot, but if it was a bot, they were responding as intelligently as if they were a real person. I didn't get one single hint that they weren't real. They responded to every question I asked and asked me questions back without any errors or confusion.;100;92;100;91;2;80;2;99;1;0;0;2;89;0;7;89;1;I've interacted with chatbots for several surveys before this, including one that was meant to diagnose health issues.;2;;3;;47;1;;10;0;another person
