ParticipantId,StartTime (Europe/Istanbul),CompletionTime (Europe/Istanbul),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
C16B8FC9D11E47D5942A8F9ECCA05A4B,04/15/2024 08:04:12 AM,04/15/2024 08:04:46 AM,Redirect,,0.3,15,0.00,Approved,32,"Some college, but no degree",Male,Medicine,Single,Something else,Man,United States,"$100,000-$124,999",White,Full-time
E91D3CACC3AD42618B8BAC8C56266DA9,04/15/2024 08:04:16 AM,04/15/2024 08:05:48 AM,Redirect,,0.3,15,0.00,Approved,28,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Married,Independent,Man,United States,"$40,000-$49,999",White,Full-time
732DA4FE7BC640B19351B870E73F6C5C,04/15/2024 08:04:17 AM,04/15/2024 08:05:23 AM,Redirect,,0.3,15,0.00,Approved,56,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Finance,Married,Democrat,Woman,United States,"$200,000-$224,999",White,Full-time
CB18A705D3D540B8A4A8D627BE511170,04/15/2024 08:04:19 AM,04/15/2024 08:05:31 AM,Redirect,,0.3,15,0.00,Approved,39,"Some college, but no degree",Male,Other,Single,Democrat,Man,United States,"$50,000-$59,999",White,Business Owner
BB6CC7E39FE141A98BE52FDA214419E2,04/15/2024 08:04:24 AM,04/15/2024 08:29:10 AM,Redirect,,0.3,15.7,0.00,Approved,35,"Some college, but no degree",Male,Other,Single,Independent,Man,United States,"$20,000-$29,999",Black or African American,Prefer not to say
A59051EBF1EC44CFB1ED73A5783A10D3,04/15/2024 08:04:31 AM,04/15/2024 08:05:32 AM,Redirect,,0.3,15,0.00,Approved,116,"Some college, but no degree",Male,Manufacturing,Single,Democrat,Man,United States,"$70,000-$79,999",White,Full-time
9CA1245D8599495F8D98099A5CD7BE14,04/15/2024 08:04:31 AM,04/15/2024 08:05:49 AM,Redirect,,0.3,15,0.00,Approved,35,"Bachelor's degree (for example: BA, AB, BS)",Female,Arts,Single,Democrat,Woman,United States,"$10,000-$19,999",White,Business Owner
7776FDF26EFC462B9BC79657AD22DEBE,04/15/2024 08:04:32 AM,04/15/2024 08:04:55 AM,Redirect,,0.3,15,0.00,Approved,33,"Bachelor's degree (for example: BA, AB, BS)",Male,Arts,In a relationship,Democrat,Man,United States,"$40,000-$49,999",Korean,Full-time
F184A4967B1A4DC89145E181B704216F,04/15/2024 08:04:32 AM,04/15/2024 08:06:09 AM,Redirect,,0.3,15,0.00,Approved,19,High school graduate - high school diploma or the equivalent (for example: GED),Female,Other,Single,Independent,Woman,United States,"$70,000-$79,999",White,Prefer not to say
ADA5FFDA5CFF45D69A0F351871A21C67,04/15/2024 08:04:34 AM,04/15/2024 08:05:22 AM,Redirect,,0.3,15,0.00,Approved,39,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",Married,Independent,Man,United States,"$100,000-$124,999",White,Full-time
0C8DAAF0BDE74D6482EC557F33586F18,04/15/2024 08:04:35 AM,04/15/2024 08:26:10 AM,Redirect,,0.3,15.7,0.00,Approved,36,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Retail,Single,Prefer not to say,Man,United States,"$20,000-$29,999",Black or African American,Part-time
01BDCB71123048979A77AB656EEBD585,04/15/2024 08:04:41 AM,04/15/2024 08:05:21 AM,Redirect,,0.3,15,0.00,Approved,33,High school graduate - high school diploma or the equivalent (for example: GED),Male,Manufacturing,Single,Democrat,Man,United States,"$30,000-$39,999",An ethnicity not listed here,Full-time
8D6C5FE6BCBF42DC929061C73F06E6C9,04/15/2024 08:04:43 AM,04/15/2024 08:30:26 AM,Redirect,,0.3,15.7,0.00,Approved,24,High school graduate - high school diploma or the equivalent (for example: GED),Female,Hospitality & Tourism,Single,Democrat,Woman,United States,"$10,000-$19,999",Black or African American,Part-time
6DA8CF8888CF48B1B27D2EECC297EA01,04/15/2024 08:04:51 AM,04/15/2024 08:05:32 AM,Redirect,,0.3,15,0.00,Approved,23,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",Single,Independent,Man,United States,"$50,000-$59,999",Black or African American,Part-time
CE791658D24940268E2D468FDC7A2F88,04/15/2024 08:04:54 AM,04/15/2024 08:05:16 AM,Redirect,,0.3,15,0.00,Approved,32,"Some college, but no degree",Male,Information Technology,Married,Democrat,Man,United States,"$70,000-$79,999",White,Full-time
0870B39E7CB348DBB74699311458D574,04/15/2024 08:04:58 AM,04/15/2024 08:06:15 AM,Redirect,,0.3,15,0.00,Approved,28,"Associate degree (for example: AA, AS)",Male,Other,Single,Republican,Man,United States,"$90,000-$99,999",Black or African American,Business Owner
BB4425B8968743B58AB851EB0E2A9FA9,04/15/2024 08:05:19 AM,04/15/2024 08:05:48 AM,Redirect,,0.3,15,0.00,Approved,27,"Some college, but no degree",Male,Other,Single,Democrat,Man,United States,"Less than $10,000",White,Unemployed
14859321998D497897702AF68E4B0855,04/15/2024 08:05:49 AM,04/15/2024 08:06:40 AM,Redirect,,0.3,15,0.00,Approved,37,"Some college, but no degree",Male,Other,Single,Democrat,Man,United States,"$70,000-$79,999",White,Unemployed
