"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","X1_lonely_1_before_1","X1_lonely_1_before_2","X1_lonely_1_before_3","X1_lonely_1_after_1","X1_lonely_1_after_2","X1_lonely_1_after_3","X2_lonely_1_before_1","X2_lonely_1_before_2","X2_lonely_1_before_3","X2_lonely_1_after_1","X2_lonely_1_after_2","X2_lonely_1_after_3","X3_lonely_1_before_1","X3_lonely_1_before_2","X3_lonely_1_before_3","X3_lonely_1_after_1","X3_lonely_1_after_2","X3_lonely_1_after_3","X4_lonely_1_before_1","X4_lonely_1_before_2","X4_lonely_1_before_3","X4_lonely_1_after_1","X4_lonely_1_after_2","X4_lonely_1_after_3","X5_lonely_1_before_1","X5_lonely_1_before_2","X5_lonely_1_before_3","X5_lonely_1_after_1","X5_lonely_1_after_2","X5_lonely_1_after_3","X6_lonely_1_before_1","X6_lonely_1_before_2","X6_lonely_1_before_3","X6_lonely_1_after_1","X6_lonely_1_after_2","X6_lonely_1_after_3","X7_lonely_1_before_1","X7_lonely_1_before_2","X7_lonely_1_before_3","X7_lonely_1_after_1","X7_lonely_1_after_2","X7_lonely_1_after_3","comp_1_p","comp_2_p","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","control_loneliness_1","control_loneliness_2","control_loneliness_3","comp_1_c","comp_2_c","exp_lonely_before_1","exp_lonely_before_2","exp_lonely_before_3","completion_code","exp_lonely_after_1","exp_lonely_after_2","exp_lonely_after_3","comp_1_e","comp_2_e","participantId","random_int","condition"
"Start Date","End Date","Response Type",1,"Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",1,1,"Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","What is your Connect participant ID?

Please note that this response should auto-fill with the correct ID.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 1 - I feel like I lack companionship.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 1 - I feel left out.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 1 - I feel isolated from others.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 1 - I feel like I lack companionship.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 1 - I feel left out.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 1 - I feel isolated from others.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 2 - I feel like I lack companionship.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 2 - I feel left out.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 2 - I feel isolated from others.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 2 - I feel like I lack companionship.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 2 - I feel left out.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 2 - I feel isolated from others.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 3 - I feel like I lack companionship.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 3 - I feel left out.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 3 - I feel isolated from others.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 3 - I feel like I lack companionship.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 3 - I feel left out.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 3 - I feel isolated from others.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 4 - I feel like I lack companionship.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 4 - I feel left out.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 4 - I feel isolated from others.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 4 - I feel like I lack companionship.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 4 - I feel left out.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 4 - I feel isolated from others.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 5 - I feel like I lack companionship.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 5 - I feel left out.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 5 - I feel isolated from others.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 5 - I feel like I lack companionship.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 5 - I feel left out.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 5 - I feel isolated from others.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 6 - I feel like I lack companionship.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 6 - I feel left out.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 6 - I feel isolated from others.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 6 - I feel like I lack companionship.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 6 - I feel left out.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 6 - I feel isolated from others.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 7 - I feel like I lack companionship.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 7 - I feel left out.","How much would you agree with the following statements before interacting with the AI companion on Day [Field-1]? - 7 - I feel isolated from others.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 7 - I feel like I lack companionship.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 7 - I feel left out.","How much would you agree with the following statements after interacting with the AI companion for 15 minutes on Day [Field-1]? - 7 - I feel isolated from others.","What was the topic of the questions you were asked?","On each day, what were you asked to predict?","Before this survey, have you ever used an artificial intelligence (AI) companion app before?","Please explain why you used an AI companion app before.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","How capable do you think artificial intelligence (AI) is of becoming as intelligent as human beings?","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel like I lack companionship.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel left out.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel isolated from others.","What was the topic of the questions you were asked?","What were you asked to rate?","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel like I lack companionship.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel left out.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel isolated from others.","Important: Please enter the exact completion code you received at the end of your interaction.","Now that you have finished interacting with the AI companion for 15 minutes, we will again ask you how you currently feel. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel like I lack companionship.","Now that you have finished interacting with the AI companion for 15 minutes, we will again ask you how you currently feel. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel left out.","Now that you have finished interacting with the AI companion for 15 minutes, we will again ask you how you currently feel. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel isolated from others.","What was the topic of the questions you were asked?","What were you asked to rate?","participantId","random_int","condition"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",2,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",2,2,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID160_TEXT""}","{""ImportId"":""1_QID2_1""}","{""ImportId"":""1_QID2_2""}","{""ImportId"":""1_QID2_3""}","{""ImportId"":""1_QID152_1""}","{""ImportId"":""1_QID152_2""}","{""ImportId"":""1_QID152_3""}","{""ImportId"":""2_QID2_1""}","{""ImportId"":""2_QID2_2""}","{""ImportId"":""2_QID2_3""}","{""ImportId"":""2_QID152_1""}","{""ImportId"":""2_QID152_2""}","{""ImportId"":""2_QID152_3""}","{""ImportId"":""3_QID2_1""}","{""ImportId"":""3_QID2_2""}","{""ImportId"":""3_QID2_3""}","{""ImportId"":""3_QID152_1""}","{""ImportId"":""3_QID152_2""}","{""ImportId"":""3_QID152_3""}","{""ImportId"":""4_QID2_1""}","{""ImportId"":""4_QID2_2""}","{""ImportId"":""4_QID2_3""}","{""ImportId"":""4_QID152_1""}","{""ImportId"":""4_QID152_2""}","{""ImportId"":""4_QID152_3""}","{""ImportId"":""5_QID2_1""}","{""ImportId"":""5_QID2_2""}","{""ImportId"":""5_QID2_3""}","{""ImportId"":""5_QID152_1""}","{""ImportId"":""5_QID152_2""}","{""ImportId"":""5_QID152_3""}","{""ImportId"":""6_QID2_1""}","{""ImportId"":""6_QID2_2""}","{""ImportId"":""6_QID2_3""}","{""ImportId"":""6_QID152_1""}","{""ImportId"":""6_QID152_2""}","{""ImportId"":""6_QID152_3""}","{""ImportId"":""7_QID2_1""}","{""ImportId"":""7_QID2_2""}","{""ImportId"":""7_QID2_3""}","{""ImportId"":""7_QID152_1""}","{""ImportId"":""7_QID152_2""}","{""ImportId"":""7_QID152_3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID162_1""}","{""ImportId"":""QID162_2""}","{""ImportId"":""QID162_3""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID164_2""}","{""ImportId"":""QID164_3""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID165_2""}","{""ImportId"":""QID165_3""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""participantId""}","{""ImportId"":""random_int""}","{""ImportId"":""condition""}"
"2024-04-08 23:02:24","2024-04-08 23:02:47","0",3,"100","22","1","2024-04-08 23:02:48","R_5R1Dl4ULS3ZXAdL","","","","",3,3,"anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97DDA2C1D255473CB0C58805449DB8D2","",""
"2024-04-08 23:02:03","2024-04-08 23:02:52","0",4,"100","48","1","2024-04-08 23:02:52","R_5fUJdhDPp94RgJE","","","","",4,4,"anonymous","EN","1","2","2","349CB3DD67FE4620B8BECBC33C18168A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","3","","24","3","","22","55","66","78","1","1","","","","","","","","","","349CB3DD67FE4620B8BECBC33C18168A","11","Control"
"2024-04-08 23:01:58","2024-04-08 23:03:08","0",5,"100","70","1","2024-04-08 23:03:09","R_6RjWzvOppycldak","","","","",5,5,"anonymous","EN","1","2","2","4018462924D142BABFB5E88C03359F1F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","3","","38","1","","65","4","12","9","1","1","","","","","","","","","","4018462924D142BABFB5E88C03359F1F","21","Control"
"2024-04-08 23:02:33","2024-04-08 23:04:14","0",6,"100","100","1","2024-04-08 23:04:14","R_3jcT8xNIqsbJUrm","","","","",6,6,"anonymous","EN","1","2","2","C64E0762EEC54235ABA43FE014831D75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","3","","29","4","","78","27","36","32","1","1","","","","","","","","","","C64E0762EEC54235ABA43FE014831D75","32","Control"
"2024-04-08 23:02:26","2024-04-08 23:04:36","0",7,"100","130","1","2024-04-08 23:04:37","R_1bWBVtIDnktPVd8","","","","",7,7,"anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AA3A6D4244DF4C538D320436A8D9E95B","",""
"2024-04-08 23:02:12","2024-04-08 23:04:39","0",8,"100","147","1","2024-04-08 23:04:40","R_3TfC1GNuV8MZ2BH","","","","",8,8,"anonymous","EN","1","2","2","74901D2ADE564603BE59D28A55952B5C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","2","","28","3","","70","90","90","90","1","1","","","","","","","","","","74901D2ADE564603BE59D28A55952B5C","24","Control"
"2024-04-08 23:03:46","2024-04-08 23:04:55","0",9,"100","68","1","2024-04-08 23:04:55","R_31yhEcwwNKdTZ0z","","","","",9,9,"anonymous","EN","1","2","2","704A166028BA4C3EAAB0715FE2D230FD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","2","","34","4","","50","50","40","40","1","1","","","","","","","","","","704A166028BA4C3EAAB0715FE2D230FD","77","Control"
"2024-04-08 23:02:31","2024-04-08 23:04:59","0",10,"100","147","1","2024-04-08 23:04:59","R_1ruok68216MW4ri","","","","",10,10,"anonymous","EN","1","2","2","ED0140E0071A4ACBA4A821244ED622E8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","they are good to talk to and learn things from, its nice to not feel like I'm talking to myself","1","","3","","47","4","","90","22","40","34","1","1","","","","","","","","","","ED0140E0071A4ACBA4A821244ED622E8","76","Control"
