"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","worker_id","control_loneliness_1","control_loneliness_2","control_loneliness_3","exp_lonely_before_1","exp_lonely_before_2","exp_lonely_before_3","completion_code","exp_lonely_after_1","exp_lonely_after_2","exp_lonely_after_3","user_opinion_1","user_opinion_2","user_opinion_3","participantId","condition","timezone"
"Start Date","End Date","Response Type",1,"Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",1,1,"Distribution Channel","User Language","Do you consent","What is your Connect participant ID?

Please note that this response should auto-fill with the correct ID.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel like I lack companionship.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel left out.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel isolated from others.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel like I lack companionship.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel left out.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel isolated from others.","Important: Please enter the exact completion code you received at the end of your interaction.

In case you did not receive a completion code even though you completed your interaction, please close the interaction page and reopen this link in a separate tab","Now that you have finished interacting with the AI companion for 15 minutes, we will again ask you how you currently feel. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel like I lack companionship.","Now that you have finished interacting with the AI companion for 15 minutes, we will again ask you how you currently feel. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel left out.","Now that you have finished interacting with the AI companion for 15 minutes, we will again ask you how you currently feel. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel isolated from others.","As you reflect on the last 7 days, how helpful was the chatbot on decreasing your loneliness?","What aspects of the chatbot did not work well for you? Please provide specific examples or areas where you faced challenges.","In what ways can we improve this chatbot to better support users like you? Feel free to suggest specific features, changes, or additions","participantId","condition","timezone"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",2,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",2,2,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID160_TEXT""}","{""ImportId"":""QID162_1""}","{""ImportId"":""QID162_2""}","{""ImportId"":""QID162_3""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID164_2""}","{""ImportId"":""QID164_3""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID165_2""}","{""ImportId"":""QID165_3""}","{""ImportId"":""QID174_TEXT""}","{""ImportId"":""QID175_TEXT""}","{""ImportId"":""QID176_TEXT""}","{""ImportId"":""participantId""}","{""ImportId"":""condition""}","{""ImportId"":""timezone""}"
"2024-04-14 23:04:17","2024-04-14 23:04:43","0",3,"100","25","1","2024-04-14 23:04:43","R_3arbvySCyuTpism","","","","",3,3,"anonymous","EN","1","C16B8FC9D11E47D5942A8F9ECCA05A4B","97","92","100","","","","","","","","","","","C16B8FC9D11E47D5942A8F9ECCA05A4B","Control","America/New_York"
"2024-04-14 23:04:33","2024-04-14 23:04:52","0",4,"100","18","1","2024-04-14 23:04:52","R_3xizFR26ISE2RRD","","","","",4,4,"anonymous","EN","1","7776FDF26EFC462B9BC79657AD22DEBE","100","100","100","","","","","","","","","","","7776FDF26EFC462B9BC79657AD22DEBE","Control","America/Chicago"
"2024-04-14 23:04:56","2024-04-14 23:05:12","0",5,"100","15","1","2024-04-14 23:05:12","R_3KZwsDCNY5b3fFd","","","","",5,5,"anonymous","EN","1","CE791658D24940268E2D468FDC7A2F88","21","23","25","","","","","","","","","","","CE791658D24940268E2D468FDC7A2F88","Control","America/New_York"
"2024-04-14 23:04:43","2024-04-14 23:05:14","0",6,"100","31","1","2024-04-14 23:05:15","R_7piEy8hTwTLLk4x","","","","",6,6,"anonymous","EN","1","01BDCB71123048979A77AB656EEBD585","0","0","0","","","","","","","","","","","01BDCB71123048979A77AB656EEBD585","Control","America/Chicago"
"2024-04-14 23:04:36","2024-04-14 23:05:18","0",7,"100","41","1","2024-04-14 23:05:18","R_5hu5phDauLVwFuY","","","","",7,7,"anonymous","EN","1","ADA5FFDA5CFF45D69A0F351871A21C67","51","28","48","","","","","","","","","","","ADA5FFDA5CFF45D69A0F351871A21C67","Control","America/New_York"
"2024-04-14 23:04:19","2024-04-14 23:05:20","0",8,"100","60","1","2024-04-14 23:05:20","R_36gt6Uxd9VQ6Rhd","","","","",8,8,"anonymous","EN","1","732DA4FE7BC640B19351B870E73F6C5C","62","20","20","","","","","","","","","","","732DA4FE7BC640B19351B870E73F6C5C","Control","America/Chicago"
"2024-04-14 23:04:34","2024-04-14 23:05:28","0",9,"100","53","1","2024-04-14 23:05:28","R_3jkXDvIJXVB6Rfq","","","","",9,9,"anonymous","EN","1","A59051EBF1EC44CFB1ED73A5783A10D3","15","12","23","","","","","","","","","","","A59051EBF1EC44CFB1ED73A5783A10D3","Control","America/Los_Angeles"
"2024-04-14 23:04:24","2024-04-14 23:05:28","0",10,"100","64","1","2024-04-14 23:05:29","R_3V1OUBtz42W2NsO","","","","",10,10,"anonymous","EN","1","CB18A705D3D540B8A4A8D627BE511170","70","60","75","","","","","","","","","","","CB18A705D3D540B8A4A8D627BE511170","Control","America/New_York"
