"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","lonely_before_1","lonely_before_2","lonely_before_3","completion_code","lonely_after_1","lonely_after_2","lonely_after_3","heard_1_1","heard_2_1","heard_3_1","perf_1_1","perf_2_1","perf_3_1","perf_4_1","perf_5_1","comp_1","comp_2","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","participantId","condition"
"Start Date","End Date","Response Type",1,"Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",1,1,"Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",1,"The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel like I lack companionship right now.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel left out right now.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel isolated from others right now.","Important: Please enter the exact completion code you received at the end of your interaction.","Now that you have finished interacting with the chatbot for 15 minutes, we will again ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel like I lack companionship right now.","Now that you have finished interacting with the chatbot for 15 minutes, we will again ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel left out right now.","Now that you have finished interacting with the chatbot for 15 minutes, we will again ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel isolated from others right now.","The chatbot put itself in my shoes.","The chatbot was empathetic.","The chatbot seems able to appropriately recognize the mood of the user from the conversation and to respond accordingly.","The chatbot was able to respond in a timely manner to requests.","The chatbot seems able to convey correct statements and information (perceived credibility).","The chatbot was able to keep track of context.","The chatbot was able to respond in different and appropriate ways to similar or repeated requests","The chatbot was able to exhibit knowledge that it is out of its immediate domain during a conversation","What were some of the questions you were asked about?","What were you asked to rate?","Before this survey, have you ever used an artificial intelligence (AI) companion app before?","Please explain why you used an AI companion app before.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","How capable do you think artificial intelligence (AI) is of becoming as intelligent as human beings?","participantId","condition"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",2,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",2,2,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}",2,"{""ImportId"":""QID164_1""}","{""ImportId"":""QID164_2""}","{""ImportId"":""QID164_3""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID165_2""}","{""ImportId"":""QID165_3""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID179_1""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID177_1""}","{""ImportId"":""QID178_1""}","{""ImportId"":""QID185_1""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""participantId""}","{""ImportId"":""condition""}"
"2024-05-16 11:51:58","2024-05-16 11:52:39","0",3,"100","40","1","2024-05-16 11:52:40","R_2vJfQaQKyj2vYKB","","","","",3,3,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","9E15867945494FB1950C488395BAC834",""
"2024-05-16 11:52:45","2024-05-16 11:53:08","0",4,"100","23","1","2024-05-16 11:53:09","R_7NSZD4B6BcEQTct","","","","",4,4,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","6A15D9D1E8C74B18B300C65B3D64CFD7",""
"2024-05-16 11:53:05","2024-05-16 11:53:19","0",5,"100","14","1","2024-05-16 11:53:20","R_7fdjkOkO0599kUP","","","","",5,5,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","A1FDC82628424B89A1385790296C58AF",""
"2024-05-16 11:53:53","2024-05-16 11:54:57","0",6,"100","63","1","2024-05-16 11:54:58","R_7ikThmWASra7WRP","","","","",6,6,"anonymous","EN","1","1","2",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","A169F6E8A615410B94AB1834CFD997F9",""
"2024-05-16 11:53:59","2024-05-16 11:55:53","0",7,"100","114","1","2024-05-16 11:55:54","R_131cAed1zpc19BZ","","","","",7,7,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","90C07D7583D743C4BA5D7CEE21852254",""
"2024-05-16 11:51:07","2024-05-16 12:08:18","0",8,"100","1030","1","2024-05-16 12:08:19","R_7MRmjIF6RpPbqS5","","","","",8,8,"anonymous","EN","1","2","2",4,"0","0","0","7079-5234-0273-4307","0","0","0","0","0","0","100","88","100","100","100","3","1","2","","1","","3","","47","4","","0","6266A893F700465EA07C444F8278880A","generalist_ai_v3"
"2024-05-16 11:51:22","2024-05-16 12:09:10","0",9,"100","1068","1","2024-05-16 12:09:11","R_2KDggPnp2tBM2E5","","","","",9,9,"anonymous","EN","1","2","2",5,"21","20","32","4690-9203-9988-5466","23","22","22","7","4","8","78","69","47","2","53","1","1","2","","2","","2","","25","4","","47","327C4218CA7D466F8DB6F14B51FA6245","generalist_ai_v3"
"2024-05-16 11:51:27","2024-05-16 12:09:12","0",10,"100","1065","1","2024-05-16 12:09:13","R_8I9ypAyCOti8ycw","","","","",10,10,"anonymous","EN","1","2","2",6,"0","0","0","9197-7918-8730-8971","15","15","15","0","0","0","77","73","16","16","12","1","1","2","","1","","2","","30","4","","81","8EF4D8DE818943E7BA305EA1CF63C089","rudimentary"
