"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","completion_code","journaling_timer_First.Click","journaling_timer_Last.Click","journaling_timer_Page.Submit","journaling_timer_Click.Count","lonely_after_1","lonely_after_2","lonely_after_3","lonely_after_9","lonely_after_10","lonely_after_13","lonely_after_14","lonely_after_15","lonely_after_16","lonely_after_18","lonely_after_19","journaling_manip","journ_manip_explain","study_purpose","ai_companion_exp","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","participantId","condition","conditionPrompt","conditionPromptPost","experiencePrompt","feelingHeardPrompt","conditionApp"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","What is your Connect participant ID?

Please note that this response should auto-fill with the correct ID.","Important: Please enter the exact completion code you received at the end of your interaction.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel like I lack companionship right now.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel left out right now.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel isolated from others right now.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel like the lighting in the room is comfortable right now.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel like the lighting in the room is making it hard to focus right now.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel comfortable with the temperature in the room right now.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel like the temperature in the room is too hot or too cold for me right now.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel comfortable with the sounds around me right now.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel distracted by the sounds around me right now.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel like the task was straightforward.","Now that you have finished [Field-conditionPromptPost], we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel like the task was confusing.","Were you able to follow the instructions of journaling for 15 minutes?
Please answer honestly; your response won’t affect your compensation","Please provide an explanation for your answer","What do you think this study was testing?","Before this survey, have you ever used an artificial intelligence (AI) companion app before?","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","How capable do you think artificial intelligence (AI) is of becoming as intelligent as human beings?","participantId","condition","conditionPrompt","conditionPromptPost","experiencePrompt","feelingHeardPrompt","conditionApp"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID160_TEXT""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID211_FIRST_CLICK""}","{""ImportId"":""QID211_LAST_CLICK""}","{""ImportId"":""QID211_PAGE_SUBMIT""}","{""ImportId"":""QID211_CLICK_COUNT""}","{""ImportId"":""QID224_1""}","{""ImportId"":""QID224_2""}","{""ImportId"":""QID224_3""}","{""ImportId"":""QID224_9""}","{""ImportId"":""QID224_10""}","{""ImportId"":""QID224_13""}","{""ImportId"":""QID224_14""}","{""ImportId"":""QID224_15""}","{""ImportId"":""QID224_16""}","{""ImportId"":""QID224_18""}","{""ImportId"":""QID224_19""}","{""ImportId"":""QID212""}","{""ImportId"":""QID214_TEXT""}","{""ImportId"":""QID226_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""participantId""}","{""ImportId"":""condition""}","{""ImportId"":""conditionPrompt""}","{""ImportId"":""conditionPromptPost""}","{""ImportId"":""experiencePrompt""}","{""ImportId"":""feelingHeardPrompt""}","{""ImportId"":""conditionApp""}"
"2024-12-18 15:38:24","2024-12-18 15:39:07","0","Anonymized","100","43","1","2024-12-18 15:39:08","R_3Jkmy9PjfZCs5TS","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E0A9AAE2E4924027B86A5652D224A3C9","","","","","",""
"2024-12-18 15:40:17","2024-12-18 15:40:56","0","Anonymized","100","38","1","2024-12-18 15:40:57","R_3kjQyvGxTMItXAF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A08DA4404C4A4BFF9FFB5AFAC4FC8FE8","","","","","",""
"2024-12-18 15:43:19","2024-12-18 15:43:42","0","Anonymized","100","23","1","2024-12-18 15:43:42","R_3u5HCkoH2hCzUeB","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73ECFD6581F14894ADB36A3035F164CF","","","","","",""
"2024-12-18 15:38:48","2024-12-18 15:56:15","0","Anonymized","100","1046","1","2024-12-18 15:56:15","R_1QRoRr49S6diNjn","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","8876873F5D5D46FD92774F5367E602B4","","13.928","915.934","916.472","6","0","0","0","75","0","94","10","97","6","100","0","1","I wrote as much as I could think of during the 15 minutes.","How people journal.","2","2","","3","","24","1","","50","8876873F5D5D46FD92774F5367E602B4","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-18 15:39:00","2024-12-18 15:56:19","0","Anonymized","100","1038","1","2024-12-18 15:56:20","R_12i1ScZMOM7h98e","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","96CFE18C2D71495597FAEDED800F21AD","4267-0000-2050-8033","","","","","0","0","0","100","0","100","0","100","0","100","0","","","my temperament or the competence of the chat bot","1","1","","3","","20","3","","81","96CFE18C2D71495597FAEDED800F21AD","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","Rudimentary"
"2024-12-18 15:38:03","2024-12-18 15:56:39","0","Anonymized","100","1116","1","2024-12-18 15:56:40","R_5FR7tQ11EAiHJ3i","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","1579C27B96CD4944AE1E20019DBFAC63","1006-7804-7163-7030","","","","","12","34","37","79","35","72","17","82","30","70","8","","","AN Ai","1","1","","4","","42","1","","72","1579C27B96CD4944AE1E20019DBFAC63","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-18 15:38:30","2024-12-18 15:56:56","0","Anonymized","100","1106","1","2024-12-18 15:56:57","R_6UYBufS0SeTeSwV","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","F505F5118C1C441B95D12C403F011540","4600-0182-6370-0774","","","","","28","17","16","87","16","80","90","71","0","71","40","","","i think it's testing how a chatbot can influence a human's perception of the space around them","1","2","","3","","34","4","","94","F505F5118C1C441B95D12C403F011540","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","Rudimentary"
"2024-12-18 15:39:45","2024-12-18 15:57:03","0","Anonymized","100","1038","1","2024-12-18 15:57:04","R_77g89jNAWY9N1qV","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","55F6C68CE8CD4DB19B14EAE239EC49D8","9092-9448-9306-1804","","","","","0","0","0","78","0","100","0","100","0","100","0","","","I have no idea","2","2","","3","","37","3","","51","55F6C68CE8CD4DB19B14EAE239EC49D8","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
