"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","completion_code","journaling_timer_First.Click","journaling_timer_Last.Click","journaling_timer_Page.Submit","journaling_timer_Click.Count","self_disclosure_1","self_disclosure_2","journaling_manip","journ_manip_explain","ai_companion_exp","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","participantId","condition","conditionPrompt","conditionPromptPost","experiencePrompt","feelingHeardPrompt","conditionApp"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","What is your Connect participant ID?

Please note that this response should auto-fill with the correct ID.","Important: Please enter the exact completion code you received at the end of your interaction.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","While I was [Field-conditionPromptPost]... - I shared personal thoughts, feelings, or experiences during this interaction","While I was [Field-conditionPromptPost]... - I revealed information about myself that I don’t usually share with others","Were you able to follow the instructions of journaling for 15 minutes?
Please answer honestly; your response won’t affect your compensation","Please provide an explanation for your answer","Before this survey, have you ever used an artificial intelligence (AI) companion app before?","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","How capable do you think artificial intelligence (AI) is of becoming as intelligent as human beings?","participantId","condition","conditionPrompt","conditionPromptPost","experiencePrompt","feelingHeardPrompt","conditionApp"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID160_TEXT""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID211_FIRST_CLICK""}","{""ImportId"":""QID211_LAST_CLICK""}","{""ImportId"":""QID211_PAGE_SUBMIT""}","{""ImportId"":""QID211_CLICK_COUNT""}","{""ImportId"":""QID227_1""}","{""ImportId"":""QID227_2""}","{""ImportId"":""QID212""}","{""ImportId"":""QID214_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""participantId""}","{""ImportId"":""condition""}","{""ImportId"":""conditionPrompt""}","{""ImportId"":""conditionPromptPost""}","{""ImportId"":""experiencePrompt""}","{""ImportId"":""feelingHeardPrompt""}","{""ImportId"":""conditionApp""}"
"2024-12-21 05:13:49","2024-12-21 05:31:14","0","Anonymized","100","1045","1","2024-12-21 05:31:15","R_7HkNo87STvGfTmo","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","B0F3D828DA0648879DD759D0EBE637EB","4297-6925-3804-6208","","","","","100","90","","","1","1","","3","","69","3","","100","B0F3D828DA0648879DD759D0EBE637EB","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 05:15:30","2024-12-21 05:32:01","0","Anonymized","100","991","1","2024-12-21 05:32:02","R_3CBCWHL87plE1oL","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","3897878672EE48D19710F861C10825B7","","5.429","911.338","915.702","28","100","100","1","I guess I had a lot to say.","1","2","","3","","60","5","","30","3897878672EE48D19710F861C10825B7","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 05:23:03","2024-12-21 05:39:48","0","Anonymized","100","1005","1","2024-12-21 05:39:49","R_7b2ckn5p7TQmjVc","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","234D27754EB24654B513F8679BDA2126","","10.706","501.403","912.019","4","90","65","1","I journaled for all 15 minutes. It felt like a very long time to journal, but I kept writing.","1","4","non-binary","3","","32","4","","60","234D27754EB24654B513F8679BDA2126","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 05:25:44","2024-12-21 05:43:46","0","Anonymized","100","1082","1","2024-12-21 05:43:47","R_3ylomrD4U7poOSF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","86BEBDD2557D4C7680B78DF8DA1678FC","8743-1943-0703-2923","","","","","100","7","","","1","2","","3","","45","5","","92","86BEBDD2557D4C7680B78DF8DA1678FC","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 05:40:21","2024-12-21 05:58:40","0","Anonymized","100","1099","1","2024-12-21 05:58:41","R_7Pz2U51DqgYePRs","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","5F0E1E7CAEFD40B5A4EA89F84FC5DD1D","0171-2185-5574-7863","","","","","60","50","","","1","2","","3","","59","3","","55","5F0E1E7CAEFD40B5A4EA89F84FC5DD1D","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 05:36:37","2024-12-21 06:01:22","0","Anonymized","100","1485","1","2024-12-21 06:01:23","R_7MtDhmUpARuCJGP","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","B76EA336606B44CEA4005B8861621321","","125.838","601.788","1030.812","8","40","20","1","I'm a (former) English teacher and a current school counselor. I just ran though my day yesterday and was able to type for 15 minutes easily.","1","2","","3","","53","5","","60","B76EA336606B44CEA4005B8861621321","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 05:39:58","2024-12-21 06:05:47","0","Anonymized","100","1548","1","2024-12-21 06:05:48","R_5oATTl33aSGMMpq","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","509291EB3F194545B31144F4CE408D12","","1.376","988.622","996.448","16","100","100","1","I tried but my mind kept rscing;","2","2","","3","","66","4","","76","509291EB3F194545B31144F4CE408D12","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 05:49:50","2024-12-21 06:07:05","0","Anonymized","100","1035","1","2024-12-21 06:07:06","R_3EZan6a39IlH4Cl","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","5268B0BD30F1460EB7229A37DA1AA718","","9.645","194.984","958.41","9","50","50","1","Thats the time I took to complete this survey.","1","1","","3","","35","4","","60","5268B0BD30F1460EB7229A37DA1AA718","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
