"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","google_check","worker_id","completion_code","journaling_timer_First.Click","journaling_timer_Last.Click","journaling_timer_Page.Submit","journaling_timer_Click.Count","Q2_First.Click","Q2_Last.Click","Q2_Page.Submit","Q2_Click.Count","youtube_ss_Id","youtube_ss_Name","youtube_ss_Size","youtube_ss_Type","self_disclosure_1","self_disclosure_2","self_disclosure_4","self_disclosure_5","self_disclosure_6","self_disclosure_7","journaling_manip","journ_manip_explain","ai_companion_exp","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","participantId","condition","conditionPrompt","conditionPromptPost"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","For this study, you are required to have a Google account. Do you have a Google account?","What is your Connect participant ID?

Please note that this response should auto-fill with the correct ID.","Important: Please enter the exact completion code you received at the end of your interaction.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Now, please upload the screenshot of your YouTube history, only for the last 15 minutes. Please pay attention to not include other information in your screenshot such as videos watched prior to this experiment, other tabs or identifying information related to your google account.



To find your YouTube history, you can click on this link. After clicking, your YouTube history will open. Please scroll down, so that your screen only shows the the header that says ‘Today’, and your history of the last 15 minutes including the names of the videos and the times they are watched. For example, if it’s currently 9:32, the last video you watched should have started roughly at 9:17 or after a couple of minutes after that. If your history does not fit in a single screenshot, you can send more than one screenshot to capture all of your history for the last 15 minutes.



If you don’t know how to take a screenshot, you can follow these instructions depending on your computer: macOS; Windows; Linux.



Note: You will not receive payment if you fail to show evidence that you used YouTube. Please make sure you contain the ""today"" heading in the screenshot, as well as the names of the videos and the time they are watched. If your history does not fit in a single screenshot, you can send multiple screenshots by compressing your screenshots into a zip file. If you are not sure how to compress files into zip, you can follow these instructions depending on your computer: macOS; Windows; Linux. - Id","Now, please upload the screenshot of your YouTube history, only for the last 15 minutes. Please pay attention to not include other information in your screenshot such as videos watched prior to this experiment, other tabs or identifying information related to your google account.



To find your YouTube history, you can click on this link. After clicking, your YouTube history will open. Please scroll down, so that your screen only shows the the header that says ‘Today’, and your history of the last 15 minutes including the names of the videos and the times they are watched. For example, if it’s currently 9:32, the last video you watched should have started roughly at 9:17 or after a couple of minutes after that. If your history does not fit in a single screenshot, you can send more than one screenshot to capture all of your history for the last 15 minutes.



If you don’t know how to take a screenshot, you can follow these instructions depending on your computer: macOS; Windows; Linux.



Note: You will not receive payment if you fail to show evidence that you used YouTube. Please make sure you contain the ""today"" heading in the screenshot, as well as the names of the videos and the time they are watched. If your history does not fit in a single screenshot, you can send multiple screenshots by compressing your screenshots into a zip file. If you are not sure how to compress files into zip, you can follow these instructions depending on your computer: macOS; Windows; Linux. - Name","Now, please upload the screenshot of your YouTube history, only for the last 15 minutes. Please pay attention to not include other information in your screenshot such as videos watched prior to this experiment, other tabs or identifying information related to your google account.



To find your YouTube history, you can click on this link. After clicking, your YouTube history will open. Please scroll down, so that your screen only shows the the header that says ‘Today’, and your history of the last 15 minutes including the names of the videos and the times they are watched. For example, if it’s currently 9:32, the last video you watched should have started roughly at 9:17 or after a couple of minutes after that. If your history does not fit in a single screenshot, you can send more than one screenshot to capture all of your history for the last 15 minutes.



If you don’t know how to take a screenshot, you can follow these instructions depending on your computer: macOS; Windows; Linux.



Note: You will not receive payment if you fail to show evidence that you used YouTube. Please make sure you contain the ""today"" heading in the screenshot, as well as the names of the videos and the time they are watched. If your history does not fit in a single screenshot, you can send multiple screenshots by compressing your screenshots into a zip file. If you are not sure how to compress files into zip, you can follow these instructions depending on your computer: macOS; Windows; Linux. - Size","Now, please upload the screenshot of your YouTube history, only for the last 15 minutes. Please pay attention to not include other information in your screenshot such as videos watched prior to this experiment, other tabs or identifying information related to your google account.



To find your YouTube history, you can click on this link. After clicking, your YouTube history will open. Please scroll down, so that your screen only shows the the header that says ‘Today’, and your history of the last 15 minutes including the names of the videos and the times they are watched. For example, if it’s currently 9:32, the last video you watched should have started roughly at 9:17 or after a couple of minutes after that. If your history does not fit in a single screenshot, you can send more than one screenshot to capture all of your history for the last 15 minutes.



If you don’t know how to take a screenshot, you can follow these instructions depending on your computer: macOS; Windows; Linux.



Note: You will not receive payment if you fail to show evidence that you used YouTube. Please make sure you contain the ""today"" heading in the screenshot, as well as the names of the videos and the time they are watched. If your history does not fit in a single screenshot, you can send multiple screenshots by compressing your screenshots into a zip file. If you are not sure how to compress files into zip, you can follow these instructions depending on your computer: macOS; Windows; Linux. - Type","Please rate the extent to which you agree with the following statements: - during [Field-conditionPromptPost], I often found myself distracted by other thoughts.","Please rate the extent to which you agree with the following statements: - [Field-conditionPromptPost] did not fully capture my attention, and I kept thinking about unrelated things.","Please rate the extent to which you agree with the following statements: - [Field-conditionPromptPost] did not prevent me from mind-wandering to other thoughts.","Please rate the extent to which you agree with the following statements: - during [Field-conditionPromptPost], I struggled to stay focused and often lost track of what I was doing.","Please rate the extent to which you agree with the following statements: - while [Field-conditionPromptPost], my mind was often crowded with unrelated thoughts.","Please rate the extent to which you agree with the following statements: - [Field-conditionPromptPost] made it hard to stay continuously focused; I often had to re-engage my attention.","Were you able to follow the instructions of journaling for 15 minutes?
Please answer honestly; your response won’t affect your compensation","Please provide an explanation for your answer","Before this survey, have you ever used an artificial intelligence (AI) companion app before?","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","How capable do you think artificial intelligence (AI) is of becoming as intelligent as human beings?","participantId","condition","conditionPrompt","conditionPromptPost"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID1218177408""}","{""ImportId"":""QID160_TEXT""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID211_FIRST_CLICK""}","{""ImportId"":""QID211_LAST_CLICK""}","{""ImportId"":""QID211_PAGE_SUBMIT""}","{""ImportId"":""QID211_CLICK_COUNT""}","{""ImportId"":""QID1218177400_FIRST_CLICK""}","{""ImportId"":""QID1218177400_LAST_CLICK""}","{""ImportId"":""QID1218177400_PAGE_SUBMIT""}","{""ImportId"":""QID1218177400_CLICK_COUNT""}","{""ImportId"":""QID1218177401_FILE_ID""}","{""ImportId"":""QID1218177401_FILE_NAME""}","{""ImportId"":""QID1218177401_FILE_SIZE""}","{""ImportId"":""QID1218177401_FILE_TYPE""}","{""ImportId"":""QID227_1""}","{""ImportId"":""QID227_2""}","{""ImportId"":""QID227_4""}","{""ImportId"":""QID227_5""}","{""ImportId"":""QID227_6""}","{""ImportId"":""QID227_7""}","{""ImportId"":""QID212""}","{""ImportId"":""QID214_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""participantId""}","{""ImportId"":""condition""}","{""ImportId"":""conditionPrompt""}","{""ImportId"":""conditionPromptPost""}"
"2024-12-23 11:57:37","2024-12-23 11:58:00","0","Anonymized","100","23","1","2024-12-23 11:58:01","R_5C3Ynquf83rsKAh","","","","","Anonymized","Anonymized","anonymous","EN","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F77F837A62F9462AA8712CF9C99F54B3","","",""
"2024-12-23 12:00:50","2024-12-23 12:01:47","0","Anonymized","100","57","1","2024-12-23 12:01:48","R_5AqIy5eCyjJdUWt","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83831ED22088460FAD14BF2895357681","","",""
"2024-12-23 11:57:02","2024-12-23 12:14:23","0","Anonymized","100","1041","1","2024-12-23 12:14:24","R_5k0XHFFstlFZsQO","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","1","1C61A2C89B264ECA87F457AE2C2071A9","6854-1845-5381-5429","","","","","","","","","","","","","14","23","24","18","18","23","","","2","2","","1","","33","3","","85","1C61A2C89B264ECA87F457AE2C2071A9","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes"
"2024-12-23 11:57:19","2024-12-23 12:14:41","0","Anonymized","100","1042","1","2024-12-23 12:14:42","R_6jeJtQ64vQSeOeS","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","1","2A2B6FF9D90943D99D47115FA01CAA82","","13.933","935.52","935.74","8","","","","","","","","","84","93","1","79","69","95","2","I did look at my phone. Writing for 15 minutes about things is so boring! It's impossible almost. I feel like i'd have to be in the mood for it. ","2","2","","3","","40","4","","100","2A2B6FF9D90943D99D47115FA01CAA82","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes"
"2024-12-23 11:56:52","2024-12-23 12:15:34","0","Anonymized","100","1121","1","2024-12-23 12:15:34","R_6mOTc6uda5l9WYd","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","1","0B7EA3BD810140FCA3ACD39A85FC2352","6012-6202-9873-7983","","","","","","","","","","","","","10","10","0","0","10","10","","","1","1","","3","","44","5","","10","0B7EA3BD810140FCA3ACD39A85FC2352","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes"
"2024-12-23 11:57:35","2024-12-23 12:16:42","0","Anonymized","100","1147","1","2024-12-23 12:16:43","R_3pDpeHeBK9inPcz","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","1","521B4B6ED66C4CD6A9B57B29A3BCA577","","","","","","40.196","975.176","1034.805","2","F_2zBh5ObAQxoVu2v","Screenshot%202024-12-23%20141428.png","169045","image/png","88","81","86","87","72","77","","","2","2","","4","","32","4","","62","521B4B6ED66C4CD6A9B57B29A3BCA577","youtube","be using YouTube for 15 minutes","using YouTube for 15 minutes"
"2024-12-23 11:59:55","2024-12-23 12:16:59","0","Anonymized","100","1024","1","2024-12-23 12:17:00","R_1cAe3n9C49eIyYy","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","1","B77F18AD392148B0A4F5476480EA6199","4659-3285-0833-3729","","","","","","","","","","","","","80","75","76","72","78","83","","","1","2","","3","","55","3","","100","B77F18AD392148B0A4F5476480EA6199","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes"
"2024-12-23 12:00:41","2024-12-23 12:18:12","0","Anonymized","100","1050","1","2024-12-23 12:18:12","R_3TnOwqv8tYRDfIx","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","1","A6226B1E6FC34931B5765A0FCC98D8A2","6171-9393-4207-7962","","","","","","","","","","","","","55","64","63","71","59","55","","","1","1","","3","","20","3","","26","A6226B1E6FC34931B5765A0FCC98D8A2","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes"
