"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","completion_code","lonely_after_1","lonely_after_2","lonely_after_3","comp_1","comp_2","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","condition"
"1","Start Date","End Date","Response Type",1,"Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",1,1,"Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.",1,"Important: Please enter the exact completion code you received at the end of your interaction.","Now that you have finished interacting with the chatbot for 15 minutes, we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel like I lack companionship right now.","Now that you have finished interacting with the chatbot for 15 minutes, we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel left out right now.","Now that you have finished interacting with the chatbot for 15 minutes, we will ask you how you currently feel right now. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way right now. - I feel isolated from others right now.","What were some of the questions you were asked about?","What were you asked to rate?","Before this survey, have you ever used an artificial intelligence (AI) companion app before?","Please explain why you used an AI companion app before.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","How capable do you think artificial intelligence (AI) is of becoming as intelligent as human beings?","condition"
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",2,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",2,2,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}",2,"{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID165_2""}","{""ImportId"":""QID165_3""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""condition""}"
"3","2024-05-23 12:54:51","2024-05-23 12:55:32","0",3,"100","41","1","2024-05-23 12:55:33","R_13vcrO0vteUySuU","","","","",3,3,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"4","2024-05-23 12:54:52","2024-05-23 12:56:07","0",4,"100","74","1","2024-05-23 12:56:07","R_1j6BsC28k9zmw3p","","","","",4,4,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"5","2024-05-23 12:55:53","2024-05-23 12:56:16","0",5,"100","23","1","2024-05-23 12:56:17","R_62PJf9wCXVoj4m1","","","","",5,5,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"6","2024-05-23 12:56:45","2024-05-23 12:57:03","0",6,"100","18","1","2024-05-23 12:57:03","R_1IcO1nGfkKNAJHe","","","","",6,6,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"7","2024-05-23 12:56:41","2024-05-23 12:57:03","0",7,"100","22","1","2024-05-23 12:57:03","R_7JNOlhrXBFoPYFr","","","","",7,7,"anonymous","EN","1","1","2",3,"","","","","","","","","","","","","","","","",""
"8","2024-05-23 12:57:03","2024-05-23 12:57:38","0",8,"100","35","1","2024-05-23 12:57:39","R_1aE39CypsKFhCEM","","","","",8,8,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"9","2024-05-23 12:57:16","2024-05-23 12:58:16","0",9,"100","60","1","2024-05-23 12:58:17","R_6dg7HB6ve6XzLZD","","","","",9,9,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"10","2024-05-23 12:58:54","2024-05-23 12:59:12","0",10,"100","18","1","2024-05-23 12:59:12","R_69QJwI6UxboQzC1","","","","",10,10,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
